#index	label	wavelength	comment
574	nFnu      10.4600m		total continuum at selected energy points 
575	nInu      10.4600m		transmitted and reflected incident continuum at selected energy points 
576	InwT      10.4600m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
577	InwC      10.4600m		reflected incident continuum (only incident) 
578	nFnu      9.48002m		total continuum at selected energy points 
579	nInu      9.48002m		transmitted and reflected incident continuum at selected energy points 
580	InwT      9.48002m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
581	InwC      9.48002m		reflected incident continuum (only incident) 
582	nFnu      9.32488m		total continuum at selected energy points 
583	nInu      9.32488m		transmitted and reflected incident continuum at selected energy points 
584	InwT      9.32488m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
585	InwC      9.32488m		reflected incident continuum (only incident) 
586	nFnu      8.21035m		total continuum at selected energy points 
587	nInu      8.21035m		transmitted and reflected incident continuum at selected energy points 
588	InwT      8.21035m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
589	InwC      8.21035m		reflected incident continuum (only incident) 
590	nFnu      7.58000m		total continuum at selected energy points 
591	nInu      7.58000m		transmitted and reflected incident continuum at selected energy points 
592	InwT      7.58000m		total reflected continuum, total inward emission plus reflected (XXdiffuseXX) total continuum 
593	InwC      7.58000m		reflected incident continuum (only incident) 
594	nFnu      7.05026m		total continuum at selected energy points 
595	nInu      7.05026m		transmitted and reflected incident continuum at selected energy points 
